query,intent
Is there an entrance exam by BMU?,admission
BMU apna entrance exam leta hai kya?,admission
BMU SAT kya hota hai?,admission
Does BMU conduct its own test?,admission
What is the admission process for BTech?,admission
BTech admission process kya hai BMU mein?,admission
JEE se admission hota hai kya BMU mein?,admission
Is JEE score required for BMU?,admission
Can I get admission without JEE in BMU?,admission
BMU mein bina JEE ke admission ho sakta hai?,admission
Is there an interview for BMU admission?,admission
BMU mein interview hota hai kya?,admission
Does BMU have management quota?,admission
Management quota available hai kya?,admission
Is hostel compulsory at BMU?,hostel
Hostel compulsory hai kya BMU mein?,hostel
Is it mandatory to stay in hostel?,hostel
Hostel lena zaroori hai kya?,hostel
Can I live off campus at BMU?,hostel
Off campus rehna allowed hai kya?,hostel
What facilities are available in BMU hostel?,hostel
BMU hostel mein kya kya facilities hain?,hostel
Hostel mein WiFi hai kya?,hostel
Is WiFi available in hostel?,hostel
Hostel mein laundry service hai kya?,hostel
Is there laundry in hostel?,hostel
Common room in hostel?,hostel
Hostel mein common room hai kya?,hostel
Hostel safe hai kya?,hostel
Is BMU hostel safe?,hostel
Hostel mein security kaisi hai?,hostel
Girls hostel safe hai kya BMU mein?,hostel
Is girls hostel secure at BMU?,hostel
CCTV in hostel?,hostel
Hostel mein CCTV hai kya?,hostel
Can parents visit hostel?,hostel
Parents hostel visit kar sakte hain kya?,hostel
Hostel visiting hours kya hain?,hostel
Does BMU provide internships?,placement
BMU mein internship milti hai kya?,placement
Internship program hai kya BMU mein?,placement
Is internship part of curriculum at BMU?,placement
BMU mein mandatory internship hai kya?,placement
Industry internship at BMU?,placement
BMU se internship kaise milti hai?,placement
Paid internship milti hai kya BMU mein?,placement
Does BMU have industry collaboration for placements?,placement
BMU industry ke saath kaam karta hai kya?,placement
Hero Group placement at BMU?,placement
Hero Group mein placement hoti hai kya?,placement
What is the attendance requirement at BMU?,about
BMU mein attendance kitni chahiye?,about
Minimum attendance at BMU?,about
BMU attendance rule kya hai?,about
75 percent attendance chahiye kya?,about
Can parents visit BMU campus?,about
Parents campus visit kar sakte hain kya?,about
Campus tour for parents?,about
Open day at BMU?,about
BMU ka placement kaisa hai?,placement
BMU placement achha hai kya?,placement
BMU se job milti hai kya?,placement
BMU placement record kaisa hai?,placement
Kitni companies aati hain BMU mein?,placement
